"","dynamic_stability_5","static_stability_mean","CV_stability","palms","figs"
"dynamic_stability_5",1,0.976338556743812,-0.540301951247216,0.493096826839485,0.818511456934732
"static_stability_mean",0.976338556743812,1,-0.59833787066962,0.484131525001878,0.773511653965109
"CV_stability",-0.540301951247216,-0.59833787066962,1,-0.47382998084429,-0.615703974177813
"palms",0.493096826839485,0.484131525001878,-0.47382998084429,1,0.64400172890414
"figs",0.818511456934732,0.773511653965109,-0.615703974177813,0.64400172890414,1
