"","dynamic_stability_5","static_stability_mean","CV_stability","palms","figs"
"dynamic_stability_5",1,0.983632189373502,-0.695745423787409,0.535176635159756,0.862469605102488
"static_stability_mean",0.983632189373502,1,-0.742676215718084,0.543801583958406,0.837817948001662
"CV_stability",-0.695745423787409,-0.742676215718084,1,-0.522890695700274,-0.679172836525352
"palms",0.535176635159756,0.543801583958406,-0.522890695700274,1,0.64400172890414
"figs",0.862469605102488,0.837817948001662,-0.679172836525352,0.64400172890414,1
